p1,p2,p3,p4,p5,p6,i1,i2,i3,i4,i5,i6
カバルドン,エースバーン,ウーラオス悪,カイリュー,アーゴヨン,ピクシー,アッキのみ,ラムのみ,きあいのタスキ,こだわりハチマキ,いのちのたま,こうこうのしっぽ
アーゴヨン,カプ・レヒレ,テッカグヤ,ジバコイル,ドサイドン,ウーラオス悪,だっしゅつパック,ゴツゴツメット,たべのこし,とつげきチョッキ,イバンのみ,こだわりスカーフ
ジバコイル,ウオノラゴン,サンダー電,ウーラオス悪,ドサイドン,ミミッキュ,とつげきチョッキ,こだわりスカーフ,オボンのみ,こだわりハチマキ,きあいのタスキ,いのちのたま
カイリュー,テッカグヤ,ウーラオス悪,ガブリアス,ナマコブシ,ハピナス,いのちのたま,パワフルハーブ,きあいのタスキ,ラムのみ,オボンのみ,たべのこし
ピカチュウ,カイリュー,ミミッキュ,ポリゴン２,ドヒドイデ,ウーラオス悪,でんきだま,こだわりハチマキ,いのちのたま,しんかのきせき,くろいヘドロ,きあいのタスキ
ニンフィア,ジバコイル,ギャラドス,ドサイドン,サンダー電,ウーラオス悪,たべのこし,とつげきチョッキ,いのちのたま,じゃくてんほけん,ウイのみ,こだわりハチマキ
ドータクン,ポリゴン２,ウーラオス悪,カイリュー,ヌオー,カプ・レヒレ,たべのこし,しんかのきせき,こだわりハチマキ,ラムのみ,アッキのみ,こだわりメガネ
ボルトロス霊,ウーラオス悪,ポリゴン２,ドヒドイデ,カイリュー,ミミッキュ,とつげきチョッキ,きあいのタスキ,しんかのきせき,くろいヘドロ,こだわりハチマキ,いのちのたま
キュウコン氷妖,スイクン,ランドロス霊,ウーラオス悪,カイリュー,エースバーン,こだわりスカーフ,とつげきチョッキ,オボンのみ,きあいのタスキ,こだわりハチマキ,いのちのたま
ランドロス霊,エースバーン,サンダー電,ウーラオス悪,ミミッキュ,キュウコン氷妖,いのちのたま,ラムのみ,オボンのみ,きあいのタスキ,アッキのみ,こだわりスカーフ
レジエレキ,ランドロス霊,ポリゴン２,ウオノラゴン,ウーラオス悪,テッカグヤ,じしゃく,とつげきチョッキ,しんかのきせき,こだわりスカーフ,こだわりハチマキ,パワフルハーブ
ウーラオス悪,ナットレイ,ウツロイド,サンダー電,ミミッキュ,カバルドン,メトロノーム,ウイのみ,パワフルハーブ,ゴツゴツメット,いのちのたま,アッキのみ
カイリュー,テッカグヤ,サンダー電,ドサイドン,ミミッキュ,ウーラオス悪,いのちのたま,じゃくてんほけん,ゴツゴツメット,きあいのタスキ,アッキのみ,こだわりハチマキ
テッカグヤ,ランターン,ウツロイド,ウーラオス悪,ミミッキュ,カイリュー,たべのこし,とつげきチョッキ,パワフルハーブ,こだわりスカーフ,いのちのたま,タラプのみ
テッカグヤ,ポリゴン２,カバルドン,サンダー電,カプ・レヒレ,ウーラオス悪,じゃくてんほけん,しんかのきせき,アッキのみ,いのちのたま,たべのこし,きあいのタスキ
ガマゲロゲ,ウーラオス悪,カイリュー,ミミッキュ,ポリゴン２,テッカグヤ,たべのこし,きあいのタスキ,ラムのみ,いのちのたま,しんかのきせき,パワフルハーブ
カバルドン,ドラパルト,ポリゴン２,ウーラオス悪,サンダー電,カプ・レヒレ,オボンのみ,たべのこし,しんかのきせき,いのちのたま,とつげきチョッキ,こだわりスカーフ
カイリュー,ラグラージ,サンダー電,ポリゴン２,ミミッキュ,ウーラオス悪,じゃくてんほけん,たべのこし,オボンのみ,しんかのきせき,アッキのみ,こだわりハチマキ
サンダー電,ラグラージ,カミツルギ,カイリュー,ウーラオス悪,ポリゴン２,ウイのみ,オボンのみ,いのちのたま,あつぞこブーツ,こだわりハチマキ,しんかのきせき
ラグラージ,カミツルギ,ウーラオス悪,カイリュー,ミミッキュ,サンダー電,いのちのたま,こだわりスカーフ,きあいのタスキ,こだわりハチマキ,のろいのおふだ,タラプのみ
カバルドン,サンダー電,ナットレイ,ミミッキュ,エースバーン,ウーラオス悪,オボンのみ,するどいくちばし,たべのこし,アッキのみ,いのちのたま,きあいのタスキ
サンダー電,ウーラオス悪,カイリュー,ウツロイド,ドリュウズ,カプ・レヒレ,ラムのみ,こだわりハチマキ,アッキのみ,きあいのタスキ,とつげきチョッキ,こだわりスカーフ
ドリュウズ,ウーラオス悪,ブリザポス,テッカグヤ,ウオノラゴン,レジエレキ,ヨプのみ,きあいのタスキ,ラムのみ,いのちのたま,こだわりスカーフ,こだわりメガネ
ラグラージ,サンダー電,ギャラドス,アーゴヨン,ブリザポス,ウーラオス悪,イバンのみ,じゃくてんほけん,ソクノのみ,いのちのたま,とつげきチョッキ,きあいのタスキ
カバルドン,テッカグヤ,エースバーン,ボルトロス化,ウーラオス悪,ミミッキュ,オボンのみ,いのちのたま,ラムのみ,たべのこし,きあいのタスキ,アッキのみ
ドリュウズ,サンダー電,ウーラオス悪,カイリュー,ブリザポス,カプ・レヒレ,いのちのたま,フィラのみ,こだわりスカーフ,あつぞこブーツ,たべのこし,こだわりメガネ
ミミッキュ,サンダー電,レジドラゴ,テッカグヤ,ウーラオス悪,ポリゴン２,いのちのたま,アッキのみ,とつげきチョッキ,じゃくてんほけん,きあいのタスキ,しんかのきせき
ランドロス霊,ミミッキュ,ウーラオス悪,ジバコイル,カプ・テテフ,ドラパルト,いのちのたま,イバンのみ,きあいのタスキ,こだわりメガネ,こだわりスカーフ,ひかりのねんど
ボスゴドラ,アーゴヨン,ランドロス霊,ウーラオス悪,カプ・コケコ,ミミッキュ,イバンのみ,いのちのたま,オボンのみ,きあいのタスキ,こだわりメガネ,アッキのみ
カイリュー,ポリゴン２,ドサイドン,ウーラオス悪,ミミッキュ,ジバコイル,いのちのたま,しんかのきせき,とつげきチョッキ,きあいのタスキ,チイラのみ,イバンのみ
ラグラージ,カイリュー,サンダー電,カミツルギ,ウーラオス悪,ヒヒダルマ氷,オボンのみ,タラプのみ,じゃくてんほけん,いのちのたま,こだわりハチマキ,こだわりスカーフ
ポリゴン２,ミミッキュ,ウーラオス悪,ランドロス霊,カプ・レヒレ,パッチラゴン,しんかのきせき,いのちのたま,きあいのタスキ,オボンのみ,こだわりスカーフ,ラムのみ
バイバニラ,ラグラージ,カイリュー,カミツルギ,ヒードラン,ウーラオス悪,きあいのタスキ,たべのこし,あつぞこブーツ,いのちのたま,じゃくてんほけん,こだわりスカーフ
エースバーン,サンダー電,ラッキー,ドヒドイデ,ミミッキュ,ウーラオス悪,ラムのみ,いのちのたま,しんかのきせき,くろいヘドロ,アッキのみ,きあいのタスキ
カバルドン,ウーラオス悪,サンダー電,ミミッキュ,ゴリランダー,エースバーン,いのちのたま,きあいのタスキ,アッキのみ,のろいのおふだ,こだわりハチマキ,こだわりスカーフ
レジエレキ,ウオノラゴン,ポリゴン２,エースバーン,エアームド,ウーラオス悪,こだわりメガネ,こだわりハチマキ,しんかのきせき,いのちのたま,イバンのみ,きあいのタスキ
カバルドン,サンダー電,ウーラオス悪,ドラパルト,ポリゴン２,カプ・レヒレ,アッキのみ,するどいくちばし,こだわりハチマキ,いのちのたま,しんかのきせき,たべのこし
ウーラオス悪,ナットレイ,カイリュー,ミミッキュ,ドサイドン,カプ・レヒレ,こだわりハチマキ,たべのこし,あつぞこブーツ,いのちのたま,じゃくてんほけん,こだわりスカーフ
サンダー電,ウオノラゴン,マンムー,カプ・レヒレ,ウーラオス悪,ミミッキュ,ゴツゴツメット,こだわりスカーフ,きあいのタスキ,こだわりメガネ,こだわりハチマキ,いのちのたま
サンダー電,ラグラージ,ウーラオス悪,ミミッキュ,カミツルギ,エースバーン,たべのこし,オボンのみ,こだわりスカーフ,アッキのみ,いのちのたま,きあいのタスキ
ウーラオス悪,ポリゴン２,ドヒドイデ,サンダー電,カイリュー,ミミッキュ,きあいのタスキ,しんかのきせき,くろいヘドロ,タラプのみ,こだわりハチマキ,いのちのたま
バンギラス,ランドロス霊,カプ・レヒレ,ナットレイ,サンダー電,ウーラオス悪,じゃくてんほけん,とつげきチョッキ,こだわりスカーフ,たべのこし,オボンのみ,きあいのタスキ
レジアイス,サンダー電,ポリゴン２,マニューラ,ミミッキュ,ウーラオス悪,とつげきチョッキ,いのちのたま,しんかのきせき,きあいのタスキ,チイラのみ,メトロノーム
ヒヒダルマ氷,ドサイドン,サンダー電,ラッキー,ドヒドイデ,ウーラオス悪,こだわりスカーフ,いのちのたま,ラムのみ,しんかのきせき,くろいヘドロ,こだわりハチマキ
ウツロイド,ウーラオス悪,カイリュー,ドリュウズ,カプ・レヒレ,サンダー電,パワフルハーブ,きあいのタスキ,じゃくてんほけん,いのちのたま,こだわりメガネ,こだわりスカーフ
パッチラゴン,ヒヒダルマ氷,カミツルギ,ラグラージ,ウーラオス悪,ポリゴン２,じゃくてんほけん,ラムのみ,こだわりスカーフ,オボンのみ,きあいのタスキ,しんかのきせき
サンダー電,ウーラオス悪,ランドロス霊,ラッキー,ヌオー,ドヒドイデ,あつぞこブーツ,こだわりスカーフ,いのちのたま,しんかのきせき,たべのこし,くろいヘドロ
ファイヤー炎,ドリュウズ,キュウコン氷妖,カミツルギ,ウーラオス悪,パッチラゴン,アッキのみ,たべのこし,こだわりスカーフ,いのちのたま,こだわりハチマキ,とつげきチョッキ
カバルドン,カミツルギ,ミミッキュ,ウーラオス悪,ラプラス,カイリュー,オボンのみ,いのちのたま,アッキのみ,きあいのタスキ,たべのこし,ラムのみ
サンダー電,ラッキー,ドヒドイデ,フェローチェ,ウーラオス悪,カミツルギ,じゃくてんほけん,しんかのきせき,くろいヘドロ,きあいのタスキ,こだわりハチマキ,いのちのたま
サンダー電,ミミッキュ,ラグラージ,ピクシー,ウーラオス悪,テッカグヤ,たべのこし,いのちのたま,きあいのタスキ,アッキのみ,こだわりスカーフ,じゃくてんほけん
カビゴン,ウーラオス悪,パッチラゴン,クレセリア,インテレオン,ランドロス霊,イバンのみ,きあいのタスキ,こだわりスカーフ,アッキのみ,いのちのたま,カゴのみ
パッチラゴン,ウオノラゴン,ウーラオス悪,トゲキッス,ポリゴン２,ミミッキュ,こだわりスカーフ,こだわりハチマキ,きあいのタスキ,ピントレンズ,しんかのきせき,アッキのみ
テッカグヤ,ガブリアス,ウオノラゴン,クレセリア,ウーラオス悪,ウツロイド,いのちのたま,でんきだま,こだわりハチマキ,アッキのみ,こだわりスカーフ,きあいのタスキ
ウーラオス悪,ウツロイド,ナットレイ,サンダー電,ミミッキュ,カバルドン,こだわりハチマキ,パワフルハーブ,たべのこし,マゴのみ,いのちのたま,アッキのみ
カバルドン,サンダー電,ナットレイ,ウーラオス悪,ドラパルト,ミミッキュ,オボンのみ,いのちのたま,たべのこし,きあいのタスキ,こだわりメガネ,アッキのみ
ガブリアス,ブリザポス,カプ・レヒレ,ウーラオス悪,アーゴヨン,サンダー電,こだわりスカーフ,イバンのみ,たべのこし,こだわりハチマキ,いのちのたま,するどいくちばし
クレセリア,ランターン,テッカグヤ,ミミッキュ,ウーラオス悪,ウツロイド,アッキのみ,こだわりメガネ,たべのこし,いのちのたま,こだわりスカーフ,パワフルハーブ
カイリュー,サンダー電,ドリュウズ,ミミッキュ,カプ・レヒレ,ウーラオス悪,こだわりハチマキ,オボンのみ,じゃくてんほけん,アッキのみ,ゴツゴツメット,きあいのタスキ
ボルトロス霊,カプ・レヒレ,ナットレイ,ウーラオス悪,ランドロス霊,ミミッキュ,オボンのみ,こだわりスカーフ,たべのこし,きあいのタスキ,いのちのたま,アッキのみ
ドラパルト,ウーラオス悪,ポリゴン２,ドヒドイデ,ドリュウズ,サンダー電,いのちのたま,きあいのタスキ,しんかのきせき,くろいヘドロ,ラムのみ,たべのこし
サンダー電,ウオノラゴン,ナットレイ,カバルドン,ウーラオス悪,ミミッキュ,するどいくちばし,こだわりスカーフ,たべのこし,オボンのみ,こだわりハチマキ,いのちのたま
サンダー電,ドヒドイデ,ドサイドン,ポリゴン２,ウオノラゴン,ウーラオス悪,こだわりスカーフ,くろいヘドロ,とつげきチョッキ,しんかのきせき,こだわりハチマキ,きあいのタスキ
カバルドン,ボーマンダ,ジバコイル,カプ・レヒレ,ウーラオス悪,ウツロイド,アッキのみ,いのちのたま,とつげきチョッキ,オボンのみ,こだわりハチマキ,こだわりスカーフ
サンダー電,ウオノラゴン,レジエレキ,ウーラオス悪,ナットレイ,エースバーン,マゴのみ,こだわりスカーフ,いのちのたま,こだわりハチマキ,たべのこし,きあいのタスキ
ニョロトノ,キングドラ,レジエレキ,ランドロス霊,テッカグヤ,ウーラオス悪,だっしゅつボタン,いのちのたま,こだわりメガネ,オボンのみ,じゃくてんほけん,ラムのみ
ブリザポス,レジエレキ,ウーラオス悪,サンダー闘,ガラガラ炎霊,ミミッキュ,じゃくてんほけん,じしゃく,きあいのタスキ,ラムのみ,ふといホネ,いのちのたま
ギャラドス,パッチラゴン,ウーラオス悪,サンダー電,ポリゴン２,カプ・レヒレ,カゴのみ,とつげきチョッキ,こだわりハチマキ,こだわりスカーフ,しんかのきせき,たべのこし
ファイヤー悪,ウーラオス悪,オーロンゲ,バンギラス,マニューラ,ミカルゲ,オボンのみ,こだわりスカーフ,ひかりのねんど,じゃくてんほけん,きあいのタスキ,まんぷくおこう
ウーラオス悪,ラッキー,カバルドン,カプ・レヒレ,エースバーン,サンダー電,きあいのタスキ,しんかのきせき,アッキのみ,たべのこし,いのちのたま,あつぞこブーツ
ウーラオス悪,カバルドン,テッカグヤ,ミミッキュ,ウツロイド,ギャラドス,こだわりハチマキ,オボンのみ,たべのこし,のろいのおふだ,きあいのタスキ,いのちのたま
パッチルドン,ジバコイル,ドサイドン,カイリュー,ウオノラゴン,ウーラオス悪,じゃくてんほけん,とつげきチョッキ,ラムのみ,たべのこし,こだわりスカーフ,きあいのタスキ
ポリゴン２,ランドロス霊,ミミッキュ,ライコウ,ドヒドイデ,ウーラオス悪,しんかのきせき,とつげきチョッキ,アッキのみ,たべのこし,くろいヘドロ,こだわりハチマキ
ウーラオス悪,サンダー電,カバルドン,ウツロイド,ポリゴン２,ナマコブシ,こだわりハチマキ,いのちのたま,イバンのみ,パワフルハーブ,しんかのきせき,たべのこし
ポリゴン２,クレセリア,ランドロス霊,ウーラオス悪,アーゴヨン,ドヒドイデ,しんかのきせき,アッキのみ,ラムのみ,きあいのタスキ,いのちのたま,ゴツゴツメット
ガブリアス,ウーラオス悪,カプ・レヒレ,アーゴヨン,ブリザポス,サンダー電,こだわりスカーフ,こだわりハチマキ,たべのこし,いのちのたま,イバンのみ,するどいくちばし
ウーラオス悪,サンダー電,カバルドン,ハピナス,ラプラス,ミミッキュ,こだわりハチマキ,あつぞこブーツ,アッキのみ,たべのこし,じゃくてんほけん,いのちのたま
サンダー電,エースバーン,ウーラオス悪,ジバコイル,カプ・レヒレ,ランドロス霊,するどいくちばし,いのちのたま,きあいのタスキ,とつげきチョッキ,たべのこし,フィラのみ
ウツロイド,ウーラオス悪,サンダー電,ウオノラゴン,ポリゴン２,ミミッキュ,パワフルハーブ,きあいのタスキ,オボンのみ,こだわりスカーフ,しんかのきせき,いのちのたま
ウオノラゴン,ブリザポス,オーロンゲ,ドリュウズ,ウーラオス悪,サンダー電,こだわりスカーフ,いのちのたま,こうこうのしっぽ,たべのこし,きあいのタスキ,アッキのみ
エースバーン,カプ・レヒレ,ウツロイド,クレセリア,ゴリランダー,ウーラオス悪,いのちのたま,こだわりスカーフ,パワフルハーブ,アッキのみ,こだわりハチマキ,きあいのタスキ
サンダー電,ウオノラゴン,ミミッキュ,ウーラオス悪,ガマゲロゲ,ジバコイル,いのちのたま,こだわりスカーフ,アッキのみ,きあいのタスキ,しんぴのしずく,たべのこし
ウオノラゴン,ミミッキュ,ウーラオス悪,アーゴヨン,ポリゴン２,ジバコイル,こだわりスカーフ,アッキのみ,きあいのタスキ,いのちのたま,しんかのきせき,イバンのみ
ウーラオス悪,ミミッキュ,ボルトロス霊,カプ・レヒレ,カイリュー,ゴリランダー,きあいのタスキ,いのちのたま,バンジのみ,こだわりスカーフ,タラプのみ,こだわりハチマキ
サンダー電,カミツルギ,エースバーン,ウーラオス悪,ミミッキュ,ウオノラゴン,オボンのみ,とつげきチョッキ,いのちのたま,きあいのタスキ,のろいのおふだ,こだわりスカーフ
エースバーン,サンダー電,ナットレイ,ランドロス霊,ウツロイド,ウーラオス悪,こだわりスカーフ,ウイのみ,たべのこし,オボンのみ,パワフルハーブ,こだわりハチマキ
カバルドン,サンダー電,ウツロイド,カミツルギ,ウーラオス悪,ドラパルト,オボンのみ,ゴツゴツメット,パワフルハーブ,いのちのたま,こだわりハチマキ,こだわりメガネ
ウオノラゴン,サンダー電,ウーラオス悪,ミミッキュ,ジバコイル,ランドロス霊,こだわりスカーフ,オボンのみ,こだわりハチマキ,いのちのたま,イバンのみ,とつげきチョッキ
エースバーン,ミミッキュ,ブリザポス,ウーラオス悪,カプ・レヒレ,カイリュー,いのちのたま,アッキのみ,オボンのみ,きあいのタスキ,こだわりスカーフ,タラプのみ
カバルドン,ウツロイド,サンダー電,ミミッキュ,ゴリランダー,ウーラオス悪,アッキのみ,パワフルハーブ,いのちのたま,のろいのおふだ,こだわりハチマキ,きあいのタスキ
サンダー電,カバルドン,ラッキー,カプ・レヒレ,ウーラオス悪,ウオノラゴン,マゴのみ,アッキのみ,しんかのきせき,たべのこし,こだわりハチマキ,こだわりスカーフ
レジエレキ,ウーラオス悪,ミミッキュ,ボーマンダ,ゴリランダー,ヒヒダルマ氷,こだわりメガネ,こだわりハチマキ,アッキのみ,いのちのたま,グラスシード,ラムのみ
ウーラオス悪,ジバコイル,ランドロス霊,ウツロイド,ドラパルト,カプ・レヒレ,こだわりスカーフ,とつげきチョッキ,オボンのみ,きあいのタスキ,たべのこし,ゴツゴツメット
ウーラオス悪,ラグラージ,ボーマンダ,ナットレイ,ミミッキュ,サンダー電,きあいのタスキ,オボンのみ,いのちのたま,たべのこし,のろいのおふだ,アッキのみ
カミツルギ,ラグラージ,サンダー電,カプ・レヒレ,ガブリアス,ウーラオス悪,いのちのたま,オボンのみ,たべのこし,こだわりスカーフ,とつげきチョッキ,こだわりハチマキ
エムリット,ポリゴン２,パッチラゴン,トゲキッス,カバルドン,ウーラオス悪,いのちのたま,しんかのきせき,とつげきチョッキ,こだわりスカーフ,アッキのみ,きあいのタスキ
ブリザポス,ラッキー,ヌオー,エアームド,ウーラオス悪,サンダー電,ラムのみ,しんかのきせき,たべのこし,フィラのみ,きあいのタスキ,いのちのたま
カメックス,ボルトロス化,ナットレイ,ウツロイド,ランドロス霊,ウーラオス悪,たつじんのおび,いのちのたま,たべのこし,パワフルハーブ,フィラのみ,きあいのタスキ
カバルドン,サンダー電,ナットレイ,ウツロイド,ウーラオス悪,ミミッキュ,オボンのみ,いのちのたま,フィラのみ,パワフルハーブ,こだわりハチマキ,アッキのみ
カプ・レヒレ,ファイヤー炎,バンギラス,マンムー,ウオノラゴン,ウーラオス悪,ゴツゴツメット,いのちのたま,とつげきチョッキ,きあいのタスキ,こだわりスカーフ,こだわりハチマキ
サンダー電,ドサイドン,カプ・レヒレ,カミツルギ,ミミッキュ,ウーラオス悪,ウイのみ,イバンのみ,こだわりスカーフ,いのちのたま,のろいのおふだ,きあいのタスキ
サンダー電,ナットレイ,カバルドン,アーゴヨン,ウーラオス悪,ウオノラゴン,するどいくちばし,たべのこし,アッキのみ,ゴツゴツメット,こだわりハチマキ,こだわりスカーフ
ボルトロス化,ランドロス霊,ウオノラゴン,ウーラオス悪,ミミッキュ,フェローチェ,オボンのみ,いのちのたま,こだわりスカーフ,こだわりハチマキ,のろいのおふだ,きあいのタスキ
ウオノラゴン,サンダー電,ドサイドン,ナットレイ,ミミッキュ,ウーラオス悪,こだわりスカーフ,オボンのみ,とつげきチョッキ,たべのこし,アッキのみ,きあいのタスキ
ドラパルト,エースバーン,ウーラオス悪,カプ・コケコ,クレセリア,ブリザポス,じゃくてんほけん,いのちのたま,きあいのタスキ,ひかりのねんど,アッキのみ,オボンのみ
カバルドン,サンダー電,ウオノラゴン,ポリゴン２,ウーラオス悪,ナットレイ,アッキのみ,いのちのたま,こだわりスカーフ,しんかのきせき,きあいのタスキ,たべのこし
カバルドン,サンダー電,ナットレイ,ウツロイド,ウーラオス悪,ミミッキュ,アッキのみ,いのちのたま,たべのこし,パワフルハーブ,きあいのタスキ,のろいのおふだ
アーゴヨン,ロトム水,ウーラオス悪,ミミッキュ,ウツロイド,ドリュウズ,いのちのたま,オボンのみ,こだわりスカーフ,アッキのみ,きあいのタスキ,じゃくてんほけん
ドラパルト,ミミッキュ,エースバーン,カプ・レヒレ,ポリゴン２,ウーラオス悪,いのちのたま,のろいのおふだ,きあいのタスキ,こだわりスカーフ,しんかのきせき,こだわりハチマキ
ボーマンダ,ウーラオス悪,ミミッキュ,ラッキー,ドヒドイデ,ランドロス霊,いのちのたま,きあいのタスキ,アッキのみ,しんかのきせき,くろいヘドロ,フィラのみ
ドラパルト,ギャラドス,ジバコイル,ウーラオス悪,ランクルス,ピクシー,ひかりのねんど,いのちのたま,じゃくてんほけん,きあいのタスキ,たべのこし,アッキのみ
ウーラオス悪,サンダー電,カプ・レヒレ,ナットレイ,ウツロイド,ランドロス霊,こだわりハチマキ,アッキのみ,こだわりスカーフ,たべのこし,パワフルハーブ,オボンのみ
エースバーン,ミミッキュ,ブリザポス,ウーラオス悪,カプ・レヒレ,カイリュー,いのちのたま,アッキのみ,オボンのみ,きあいのタスキ,こだわりスカーフ,タラプのみ
エースバーン,サンダー電,ドラパルト,ウーラオス悪,ハピナス,カバルドン,ラムのみ,いのちのたま,きあいのタスキ,こだわりハチマキ,たべのこし,アッキのみ
ドヒドイデ,ナットレイ,ウーラオス悪,ウツロイド,サンダー電,ウオノラゴン,ゴツゴツメット,たべのこし,こだわりスカーフ,くろいヘドロ,いのちのたま,こだわりハチマキ
ランドロス霊,ドヒドイデ,レジアイス,ウーラオス悪,カプ・レヒレ,サンダー電,こだわりスカーフ,オボンのみ,とつげきチョッキ,こだわりハチマキ,こだわりメガネ,いのちのたま
ボーマンダ,ウーラオス悪,カプ・レヒレ,ジバコイル,カバルドン,ウツロイド,いのちのたま,こだわりハチマキ,オボンのみ,とつげきチョッキ,アッキのみ,こだわりスカーフ
サンダー電,ドサイドン,ナットレイ,ドヒドイデ,ウーラオス悪,ミミッキュ,こだわりスカーフ,とつげきチョッキ,たべのこし,くろいヘドロ,きあいのタスキ,アッキのみ
カイリュー,サンダー電,ウオノラゴン,ポリゴン２,ミミッキュ,ウーラオス悪,こだわりハチマキ,ものしりメガネ,こだわりスカーフ,しんかのきせき,いのちのたま,きあいのタスキ
サンダー電,ドラパルト,カプ・レヒレ,ウーラオス悪,ポリゴン２,ウオノラゴン,するどいくちばし,いのちのたま,たべのこし,こだわりハチマキ,しんかのきせき,こだわりスカーフ
ボルトロス化,エースバーン,ラティアス,カバルドン,ミミッキュ,ウーラオス悪,ウイのみ,こだわりハチマキ,じゃくてんほけん,たべのこし,いのちのたま,こだわりスカーフ
ミミッキュ,ランドロス霊,ウーラオス悪,ウオノラゴン,ポリゴン２,エースバーン,いのちのたま,オボンのみ,きあいのタスキ,こだわりスカーフ,しんかのきせき,ラムのみ
ドラパルト,サンダー電,ドリュウズ,カプ・レヒレ,ウルガモス,ウーラオス悪,いのちのたま,アッキのみ,とつげきチョッキ,こだわりメガネ,たべのこし,ラムのみ
ラグラージ,ボーマンダ,カミツルギ,ミミッキュ,ウーラオス悪,ジバコイル,とつげきチョッキ,いのちのたま,ラムのみ,チイラのみ,きあいのタスキ,イバンのみ
ミミッキュ,ルガルガン黄昏,サンダー電,レジドラゴ,ポリゴン２,ウーラオス悪,サンのみ,きあいのタスキ,いのちのたま,じゃくてんほけん,しんかのきせき,メトロノーム
フェローチェ,サンダー電,ドヒドイデ,ラッキー,ウーラオス悪,ミミッキュ,こだわりスカーフ,いのちのたま,くろいヘドロ,しんかのきせき,きあいのタスキ,のろいのおふだ
ウーラオス悪,ナットレイ,サンダー電,ドサイドン,エースバーン,ドラパルト,こだわりハチマキ,たべのこし,アッキのみ,ラムのみ,とつげきチョッキ,きあいのタスキ
カバルドン,ウツロイド,ウーラオス悪,カミツルギ,ウオノラゴン,サンダー電,オボンのみ,パワフルハーブ,きあいのタスキ,いのちのたま,こだわりスカーフ,するどいくちばし
パッチラゴン,ウオノラゴン,テッカグヤ,ポリゴン２,ウーラオス悪,ミミッキュ,いのちのたま,こだわりスカーフ,パワフルハーブ,しんかのきせき,きあいのタスキ,アッキのみ
ウーラオス悪,サンダー電,レジエレキ,ブリザポス,ミミッキュ,ウオノラゴン,こだわりハチマキ,いのちのたま,きあいのタスキ,せんせいのツメ,アッキのみ,こだわりスカーフ
サンダー電,ウーラオス悪,エースバーン,ミミッキュ,ナットレイ,カバルドン,するどいくちばし,きあいのタスキ,ラムのみ,いのちのたま,たべのこし,オボンのみ
ウーラオス悪,ポリゴン２,ドヒドイデ,ウオノラゴン,サンダー電,ドリュウズ,こだわりスカーフ,しんかのきせき,くろいヘドロ,こだわりハチマキ,タラプのみ,とつげきチョッキ
ヒヒダルマ氷,カプ・レヒレ,ランドロス霊,サンダー電,ナットレイ,ウーラオス悪,きあいのタスキ,マゴのみ,とつげきチョッキ,ウイのみ,たべのこし,こだわりハチマキ
エースバーン,サンダー電,カプ・レヒレ,ドリュウズ,ウーラオス悪,マンムー,いのちのたま,アッキのみ,こだわりメガネ,じゃくてんほけん,こだわりハチマキ,きあいのタスキ
エースバーン,ラプラス,ウーラオス悪,ミミッキュ,ランクルス,エルフーン,いのちのたま,ひかりのねんど,きあいのタスキ,のろいのおふだ,タラプのみ,たべのこし
カバルドン,サンダー電,カミツルギ,ウーラオス悪,ガマゲロゲ,ミミッキュ,オボンのみ,するどいくちばし,いのちのたま,きあいのタスキ,たべのこし,のろいのおふだ
ブリザポス,カプ・コケコ,サンダー電,ポリゴン２,ゴリランダー,ウーラオス悪,じゃくてんほけん,こだわりメガネ,ゴツゴツメット,しんかのきせき,こだわりハチマキ,きあいのタスキ
テッカグヤ,クレセリア,ウーラオス悪,サンダー電,ランドロス霊,ウツロイド,いのちのたま,アッキのみ,こだわりスカーフ,ゴツゴツメット,イトケのみ,パワフルハーブ
ラグラージ,ウツロイド,サンダー電,エースバーン,クレセリア,ウーラオス悪,きあいのタスキ,パワフルハーブ,たべのこし,いのちのたま,アッキのみ,こだわりスカーフ
ポリゴンＺ,ウーラオス悪,ガマゲロゲ,レアコイル,モジャンボ,ハピナス,こだわりスカーフ,きあいのタスキ,いのちのたま,しんかのきせき,ゴツゴツメット,たべのこし
キュウコン氷妖,マリルリ,ポリゴンＺ,パッチラゴン,ゲンガー,ウーラオス悪,こだわりスカーフ,とつげきチョッキ,シルクのスカーフ,いのちのたま,きあいのタスキ,こだわりハチマキ
ウーラオス悪,パッチラゴン,モロバレル,アシレーヌ,ウルガモス,ゲンガー,いのちのたま,じゃくてんほけん,ゴツゴツメット,イバンのみ,ラムのみ,きあいのタスキ
ギルガルド,ストリンダー高,ウーラオス悪,アシレーヌ,ホルード,オンバーン,じゃくてんほけん,とつげきチョッキ,こだわりハチマキ,たべのこし,きあいのタスキ,いのちのたま
キュウコン氷妖,アシレーヌ,パッチラゴン,ギルガルド,ロトム炎,ウーラオス悪,ひかりのねんど,たべのこし,こだわりスカーフ,きあいのタスキ,とつげきチョッキ,こだわりハチマキ
ウーラオス悪,ロトム炎,モロバレル,ホルード,パッチラゴン,アシレーヌ,こだわりハチマキ,こだわりスカーフ,ゴツゴツメット,きあいのタスキ,ラムのみ,とつげきチョッキ
パッチラゴン,ゲンガー,アシレーヌ,ウーラオス悪,モロバレル,オーロンゲ,こだわりスカーフ,きあいのタスキ,とつげきチョッキ,こだわりハチマキ,くろいヘドロ,こうこうのしっぽ
